Rank,Name,basename,Genre,Platform,Publisher,Developer,Year,Global_Sales,NA_Sales,PAL_Sales,JP_Sales
423,FIFA Soccer 10,fifa-soccer-10,Sports,PS3,EA Sports,EA Canada,2009,3.63,0.6,2.46,0.05
426,Star Wars Battlefront,star-wars-battlefront,Shooter,PS2,LucasArts,Pandemic Studios,2004,3.61,1.93,1.22,0.03
430,Assassin's Creed Syndicate,assassins-creed-syndicate,Action,PS4,Ubisoft,Ubisoft Quebec,2015,3.6,0.9,2.06,0.08
431,Star Wars Battlefront II,star-wars-battlefront-ii,Shooter,PS2,LucasArts,Pandemic Studios,2005,3.59,2.18,1.02,0.03
432,Assassin's Creed: Unity,assassins-creed-unity,Action,XOne,Ubisoft,Ubisoft Montreal,2014,3.58,2.34,0.9,0.0
433,Cooking Mama 2: Dinner With Friends,cooking-mama-2-dinner-with-friends,Simulation,DS,Majesco,Office Create,2007,3.58,1.6,1.49,0.1
435,WWF SmackDown!,wwf-smackdown,Fighting,PS,THQ,Yuke's,2000,3.58,2.01,1.35,0.06
437,Battlefield 4,battlefield-4,Shooter,X360,Electronic Arts,EA DICE,2013,3.54,2.16,1.05,0.02
438,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,PS2,Rockstar Games,Rockstar Leeds,2006,3.54,1.56,1.4,0.07
439,The Getaway,the-getaway,Action,PS2,Sony Computer Entertainment,Team Soho,2003,3.54,1.23,1.77,0.05
440,Tomb Raider III: Adventures of Lara Croft,tomb-raider-iii-adventures-of-lara-croft,Adventure,PS,Eidos Interactive,Core Design Ltd.,1998,3.54,1.66,1.58,0.12
441,Batman: Arkham Asylum,batman-arkham-asylum,Action,X360,Eidos Interactive,Rocksteady Studios,2009,3.54,2.24,0.95,0.02
442,Assassin's Creed: Brotherhood,assassins-creed-brotherhood,Action,X360,Ubisoft,Ubisoft Montreal,2010,3.53,2.87,0.39,0.03
443,James Bond 007: Agent Under Fire,james-bond-007-agent-under-fire,Shooter,PS2,Electronic Arts,EA Redwood Shores,2001,3.53,1.9,1.13,0.1
444,LEGO Star Wars: The Video Game,lego-star-wars-the-video-game,Action,PS2,Eidos Interactive,Traveller's Tales,2005,3.53,1.98,1.14,0.01
445,Resident Evil 5,resident-evil-5,Action,X360,Capcom,Capcom,2009,3.53,2.13,0.93,0.12
447,NBA 2K17,nba-2k17,Sports,PS4,2K Sports,Visual Concepts,2016,3.52,2.28,0.59,0.03
448,FIFA Soccer 11,fifa-soccer-11,Sports,X360,EA Sports,EA Canada,2010,3.52,0.71,2.39,0.02
449,Spyro 2: Ripto's Rage!,spyro-2-riptos-rage,Platform,PS,Sony Computer Entertainment,Insomniac Games,1999,3.52,2.14,1.21,0.01
450,Left 4 Dead,left-4-dead,Shooter,X360,Valve Corporation,Certain Affinity / Valve Software,2008,3.52,2.66,0.49,0.05
456,FIFA Soccer 2004,fifa-soccer-2004,Sports,PS2,EA Sports,EA Canada,2003,3.49,0.59,2.36,0.04
459,Battlefield: Bad Company 2,battlefield-bad-company-2,Shooter,X360,Electronic Arts,EA Digital Illusions CE,2010,3.48,2.11,1.01,0.04
460,Borderlands,borderlands,Shooter,X360,2K Games,Gearbox Software,2009,3.48,2.43,0.72,0.03
461,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,DS,Sega,Sega,2009,3.47,1.21,1.63,0.27
463,Guitar Hero: On Tour,guitar-hero-on-tour,Misc,DS,Activision,Vicarious Visions,2008,3.46,2.1,1.01,0.01
465,Halo: The Master Chief Collection,halo-the-master-chief-collection,Shooter,XOne,Microsoft Studios,343 Industries,2014,3.44,2.06,1.04,0.03
467,Tekken 4,tekken-4,Fighting,PS2,Namco,Namco,2002,3.44,1.55,1.27,0.33
